word	x	y	nearest
disinclination	64.4994445064	0.538398789424	0.313
quadrille	66.3601070075	23.36421639	0.319
pavement	26.0846158258	-40.9172092775	0.262
officer	8.85787225871	-75.1112778713	0.443
night	-82.0177552539	15.6048582397	0.946
security	17.5630401693	72.2974861073	0.632
effusion	18.7157192538	46.3408468717	0.448
attorney	25.5364522366	81.0011395942	0.600
right	-49.7802084151	61.2150461266	0.843
crowd	4.84808601001	64.2448732501	0.624
refinement	2.9698067948	-12.595309355	0.314
crown	54.3924166713	66.642728842	0.520
arrear	73.7602959625	1.00904633887	0.382
hall-door	6.22942640362	-5.02189502154	0.249
displeasure	-17.3273388394	64.8666076424	0.748
escape	15.8805381262	88.4370001534	0.633
dear	21.430527024	-36.0357267653	0.248
tremor	58.0003475577	-5.60334998323	0.262
guess	-29.2704021849	-72.9380864501	0.613
sea-bathing	58.1117390376	-33.6730556298	0.256
rapidity	-10.1996444126	82.9851125701	0.728
proceeding	32.7417291404	13.0276299618	0.369
bottom	-34.6306546172	-89.0631721615	0.695
aggravation	-12.2162195692	77.356155383	0.758
everything	-90.6607913915	-60.0005732926	0.992
shakespeare	7.48224379558	18.6359186431	0.314
participation	62.4240991961	18.1917807523	0.418
payment	-13.1451759941	-94.2236700432	0.516
illustration	2.4965224833	-65.7713152996	0.272
mediocrity	-16.5736220391	8.13397040101	0.270
post	-53.9501502603	68.9779462602	0.838
uniformity	67.5659088761	-24.483556941	0.254
leave-taking	-10.9339213762	-96.0508781812	0.482
dinner	-73.0939627128	-38.9313421674	0.981
despair	21.7052251768	-30.7732381049	0.239
cake	9.4725391428	77.7522077645	0.647
guile	16.708276924	-19.8510831193	0.250
duke	0.240018852672	1.15318426851	0.248
impartiality	17.5120602745	61.9802813981	0.634
presence	26.6093397355	26.475682952	0.256
puzzle	11.4801459331	-50.2205180652	0.277
profession	-76.6027231457	2.56363872615	0.956
son	-82.8842480756	-51.6971258543	0.988
furnishing	41.6737544784	14.0911569891	0.283
lieu	3.63734321318	-87.8963164088	0.533
deception	5.62058490493	77.7276448722	0.685
deal	-84.2041972171	-52.1438045515	0.989
support	21.327171059	-75.1362722083	0.359
jealousy	28.8456501332	-57.5613082125	0.238
personage	6.0289382822	-76.4649790804	0.366
class	63.060730955	40.5160662855	0.427
avail	-5.08057605195	-46.0348189848	0.279
derision	71.6266549727	-33.8747251268	0.259
vehemence	7.72047323385	-9.26061456507	0.216
way	-88.9533214161	-58.5651994339	0.991
greatness	10.9117674733	34.4267368518	0.317
call	3.74902228461	84.1950923685	0.603
inquietude	4.69226922492	-48.5943888735	0.331
head	-56.2724939742	38.4972013818	0.883
offering	33.1254939405	40.2842878082	0.553
offer	-40.1463017258	74.7893828435	0.774
fascination	5.67993932532	-79.6498602543	0.387
lawn	8.77062512785	61.6834999006	0.545
failure	22.4459268064	-55.3093565633	0.360
uncle	54.08077583	65.2217524031	0.508
self-command	52.1263906055	52.1116508112	0.519
minuteness	23.0047178996	-17.0199137061	0.238
continuance	66.8922376662	66.5242918326	0.507
absent	-25.6747339788	-77.0410522946	0.536
se'nnight	4.2343865668	67.820748711	0.670
pretension	29.3547750289	-24.2649796085	0.225
temper	-57.7517128643	35.1251662948	0.898
disgrace	-60.6037533767	61.2310663704	0.857
impropriety	59.4389230517	-47.0405143706	0.255
evidence	47.8848937841	-28.1466716396	0.280
postscript	11.7624191594	70.9041744632	0.611
exist	38.134311419	29.2407174175	0.500
accounting	35.8459701474	-36.1214420719	0.237
solicitation	55.6553580676	-22.3746139773	0.264
penitent	10.392965956	16.0682751421	0.376
meanness	30.5267224287	-26.4077679665	0.218
tis	-1.12610939121	-97.55685271	0.532
venison	-4.62340121578	-31.1374544505	0.239
littleness	-17.8106611926	2.95398019563	0.265
test	20.8985202932	-22.2605505341	0.253
roll	47.8302810572	-9.97755849379	0.285
evergreen	2.29552477765	-66.1933942577	0.367
picture	-54.1608106243	73.7192287835	0.847
self-complacency	9.85470169727	-42.3955557928	0.257
intend	11.5171783299	-34.9922604673	0.272
felt	52.4064020288	38.5568801991	0.389
partiality	-75.3577477651	19.9917634517	0.939
trepidation	-10.7702884627	-68.9604519593	0.364
journey	-75.6533837258	-41.8480578638	0.986
intent	59.0183446058	-5.0711967246	0.372
dissipation	2.19120627965	73.611510015	0.681
discharge	62.2950809115	5.51661829184	0.317
compunction	1.52065472519	-7.50222814209	0.261
to-day	44.6951363496	30.8854694308	0.371
apology	-37.701935222	83.7870617875	0.793
side-glass	-19.3989860807	-32.0696471596	0.225
